NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
2013301 KS EBT NEOSHO,245,,"1,465",,"1,710",,200,,653,,853,,"265,394",,,,
2013501 KS EBT NESS,12,,69,,81,,8,,34,,42,,"12,126",,,,
2013701 KS EBT NORTON,41,,267,,308,,33,,118,,151,,"43,939",,,,
2013901 KS EBT OSAGE,165,,999,,"1,164",,144,,439,,583,,"173,526",,,,
2014101 KS EBT OSBORNE,24,,207,,231,,22,,88,,110,,"33,687",,,,
2014301 KS EBT OTTAWA,30,,236,,266,,28,,100,,128,,"39,866",,,,
2014501 KS EBT PAWNEE,44,,398,,442,,41,,164,,205,,"60,386",,,,
2014701 KS EBT PHILLIPS,23,,180,,203,,22,,84,,106,,"29,018",,,,
2014901 KS EBT POTTAWATOMIE,88,,781,,869,,70,,286,,356,,"129,103",,,,
2015101 KS EBT PRATT,57,,283,,340,,52,,144,,196,,"44,017",,,,
2015301 KS EBT RAWLINS,12,,76,,88,,8,,36,,44,,"12,215",,,,
2015501 KS EBT RENO,728,,"4,182",,"4,910",,644,,"1,976",,"2,620",,"762,128",,,,
2015701 KS EBT REPUBLIC,35,,198,,233,,24,,91,,115,,"33,217",,,,
2015901 KS EBT RICE,74,,543,,617,,61,,220,,281,,"92,977",,,,
2016101 KS EBT RILEY,373,,"2,330",,"2,703",,268,,"1,009",,"1,277",,"428,455",,,,
2016301 KS EBT ROOKS,27,,177,,204,,25,,83,,108,,"30,623",,,,
2016501 KS EBT RUSH,29,,174,,203,,25,,76,,101,,"28,218",,,,
2016701 KS EBT RUSSELL,79,,454,,533,,61,,185,,246,,"72,927",,,,
2016901 KS EBT SALINE,557,,"3,861",,"4,418",,476,,"1,833",,"2,309",,"683,929",,,,
2017101 KS EBT SCOTT,22,,145,,167,,20,,71,,91,,"25,638",,,,
2017301 KS EBT Sedgwick County,"7,050",,"46,459",,"53,509",,"5,768",,"20,175",,"25,943",,"8,814,022",,,,
2017501 KS EBT SEWARD,177,,"1,216",,"1,393",,141,,514,,655,,"221,009",,,,
2017701 KS EBT SHAWNEE,"2,789",,"15,196",,"17,985",,"2,321",,"7,001",,"9,322",,"2,906,585",,,,
2017901 KS EBT SHERIDAN,7,,66,,73,,6,,21,,27,,"9,972",,,,
2018101 KS EBT SHERMAN,53,,346,,399,,48,,161,,209,,"60,699",,,,
2018301 KS EBT SMITH,25,,136,,161,,24,,66,,90,,"23,617",,,,
2018501 KS EBT STAFFORD,23,,205,,228,,23,,87,,110,,"33,196",,,,
2018701 KS EBT STANTON,6,,49,,55,,5,,20,,25,,"7,936",,,,
2018901 KS EBT STEVENS,19,,179,,198,,8,,61,,69,,"28,152",,,,
2019101 KS EBT SUMNER,215,,"1,717",,"1,932",,185,,718,,903,,"290,028",,,,
2019301 KS EBT THOMAS,27,,192,,219,,27,,100,,127,,"33,754",,,,
2019501 KS EBT TREGO,13,,61,,74,,13,,36,,49,,"10,222",,,,
2019701 KS EBT WABAUNSEE,25,,295,,320,,14,,101,,115,,"41,264",,,,
2019901 KS EBT WALLACE,7,,60,,67,,4,,23,,27,,"10,352",,,,
2020101 KS EBT WASHINGTON,18,,140,,158,,18,,70,,88,,"25,207",,,,
2020301 KS EBT WICHITA,15,,80,,95,,13,,40,,53,,"15,396",,,,
2020501 KS EBT WILSON,131,,753,,884,,111,,314,,425,,"126,826",,,,
2020701 KS EBT WOODSON,19,,222,,241,,18,,93,,111,,"33,154",,,,
2020901 KS EBT WyandotteCounty,"2,658",,"16,454",,"19,112",,"2,218",,"6,950",,"9,168",,"3,082,797",,,,
2100101 KY EBT ADAIR,24,,"3,120",,"3,144",,9,,"1,415",,"1,424",,"750,529",,,,
2100301 KY EBT ALLEN,20,,"2,306",,"2,326",,7,,"1,029",,"1,036",,"549,215",,,,
2100501 KY EBT ANDERSON,2,,"1,584",,"1,586",,2,,687,,689,,"372,706",,,,
2100701 KY EBT BALLARD,7,,788,,795,,2,,359,,361,,"189,674",,,,
2100901 KY EBT BARREN,63,,"5,739",,"5,802",,22,,"2,595",,"2,617",,"1,378,301",,,,
2101101 KY EBT BATH,18,,"2,247",,"2,265",,5,,"1,029",,"1,034",,"545,315",,,,
2101301 KY EBT BELL,156,,"7,171",,"7,327",,68,,"3,444",,"3,512",,"1,775,816",,,,
2101501 KY EBT BOONE,42,,"5,858",,"5,900",,13,,"2,358",,"2,371",,"1,391,367",,,,
2101701 KY EBT BOURBON,10,,"2,637",,"2,647",,3,,"1,212",,"1,215",,"639,647",,,,
2101901 KY EBT BOYD,121,,"6,278",,"6,399",,55,,"3,034",,"3,089",,"1,578,593",,,,
2102101 KY EBT BOYLE,12,,"3,079",,"3,091",,6,,"1,452",,"1,458",,"748,233",,,,
2102301 KY EBT BRACKEN,19,,"1,065",,"1,084",,6,,459,,465,,"251,776",,,,
2102501 KY EBT BREATHITT,83,,"3,753",,"3,836",,51,,"1,887",,"1,938",,"926,755",,,,
2102701 KY EBT BRECKINRIDGE,23,,"2,473",,"2,496",,9,,"1,150",,"1,159",,"604,889",,,,
2102901 KY EBT BULLITT,34,,"5,132",,"5,166",,13,,"2,316",,"2,329",,"1,255,224",,,,
2103101 KY EBT BUTLER,10,,"1,738",,"1,748",,5,,798,,803,,"426,260",,,,
2103301 KY EBT CALDWELL,32,,"1,470",,"1,502",,11,,668,,679,,"359,382",,,,
2103501 KY EBT CALLOWAY,18,,"2,793",,"2,811",,6,,"1,239",,"1,245",,"670,386",,,,
2103701 KY EBT CAMPBELL,54,,"5,435",,"5,489",,20,,"2,458",,"2,478",,"1,321,212",,,,
2103901 KY EBT CARLISLE,5,,534,,539,,2,,224,,226,,"131,535",,,,
2104101 KY EBT CARROLL,3,,"1,448",,"1,451",,2,,600,,602,,"343,735",,,,
2104301 KY EBT CARTER,42,,"4,405",,"4,447",,14,,"2,034",,"2,048",,"1,072,450",,,,
2104501 KY EBT CASEY,35,,"2,679",,"2,714",,11,,"1,207",,"1,218",,"639,233",,,,
2104701 KY EBT CHRISTIAN,144,,"8,643",,"8,787",,65,,"3,764",,"3,829",,"2,144,894",,,,
2104901 KY EBT CLARK,30,,"4,352",,"4,382",,13,,"2,148",,"2,161",,"1,072,958",,,,
2105101 KY EBT CLAY,44,,"6,051",,"6,095",,16,,"2,994",,"3,010",,"1,480,100",,,,
2105301 KY EBT CLINTON,31,,"2,216",,"2,247",,11,,"1,011",,"1,022",,"534,162",,,,
2105501 KY EBT CRITTENDEN,8,,879,,887,,2,,377,,379,,"214,096",,,,
2105701 KY EBT CUMBERLAND,10,,"1,333",,"1,343",,3,,641,,644,,"318,645",,,,
2105901 KY EBT DAVIESS,103,,"10,003",,"10,106",,38,,"4,494",,"4,532",,"2,427,667",,,,
2106101 KY EBT EDMONSON,22,,"1,441",,"1,463",,7,,659,,666,,"353,341",,,,
2106301 KY EBT ELLIOTT,24,,"1,316",,"1,340",,6,,594,,600,,"319,486",,,,
2106501 KY EBT ESTILL,14,,"2,779",,"2,793",,5,,"1,435",,"1,440",,"692,375",,,,
2106703 KY EBT FAYETTE,347,,"25,546",,"25,893",,125,,"11,754",,"11,879",,"6,318,357",,,,
2106901 KY EBT FLEMING,23,,"2,037",,"2,060",,7,,954,,961,,"491,244",,,,
2107101 KY EBT FLOYD,143,,"8,761",,"8,904",,77,,"4,141",,"4,218",,"2,157,420",,,,
2107301 KY EBT FRANKLIN,49,,"4,901",,"4,950",,16,,"2,228",,"2,244",,"1,206,761",,,,
2107501 KY EBT FULTON,13,,"1,327",,"1,340",,6,,672,,678,,"326,961",,,,
2107701 KY EBT GALLATIN,8,,698,,706,,2,,286,,288,,"170,189",,,,
2107901 KY EBT GARRARD,32,,"2,029",,"2,061",,11,,902,,913,,"492,560",,,,
2108101 KY EBT GRANT,23,,"2,770",,"2,793",,7,,"1,125",,"1,132",,"666,939",,,,
2108301 KY EBT GRAVES,22,,"4,492",,"4,514",,13,,"2,018",,"2,031",,"1,096,875",,,,
2108501 KY EBT GRAYSON,14,,"3,681",,"3,695",,6,,"1,727",,"1,733",,"888,518",,,,
2108701 KY EBT GREEN,11,,"1,417",,"1,428",,5,,661,,666,,"338,099",,,,
2108901 KY EBT GREENUP,20,,"4,055",,"4,075",,8,,"1,820",,"1,828",,"966,842",,,,
2109101 KY EBT HANCOCK,4,,823,,827,,2,,347,,349,,"198,076",,,,
2109301 KY EBT HARDIN,81,,"8,895",,"8,976",,33,,"4,029",,"4,062",,"2,163,036",,,,
2109501 KY EBT HARLAN,273,,"7,530",,"7,803",,163,,"3,571",,"3,734",,"1,919,390",,,,
2109701 KY EBT HARRISON,14,,"2,009",,"2,023",,6,,913,,919,,"474,148",,,,
2109901 KY EBT HART,25,,"2,746",,"2,771",,6,,"1,267",,"1,273",,"664,484",,,,
2110101 KY EBT HENDERSON,66,,"4,804",,"4,870",,24,,"2,249",,"2,273",,"1,171,498",,,,
2110301 KY EBT HENRY,4,,"1,397",,"1,401",,2,,623,,625,,"333,719",,,,
2110501 KY EBT HICKMAN,8,,603,,611,,2,,285,,287,,"147,634",,,,
2110701 KY EBT HOPKINS,83,,"5,901",,"5,984",,28,,"2,707",,"2,735",,"1,469,767",,,,
2110901 KY EBT JACKSON,18,,"3,368",,"3,386",,10,,"1,577",,"1,587",,"815,831",,,,
2111103 KY EBT JEFFERSON,"1,554",,"78,781",,"80,335",,573,,"36,589",,"37,162",,"19,709,060",,,,
2111301 KY EBT JESSAMINE,44,,"5,041",,"5,085",,15,,"2,181",,"2,196",,"1,224,260",,,,
2111501 KY EBT JOHNSON,54,,"4,528",,"4,582",,35,,"2,151",,"2,186",,"1,108,850",,,,
2111703 KY EBT KENTON,218,,"12,208",,"12,426",,81,,"5,527",,"5,608",,"3,045,593",,,,
2111901 KY EBT KNOTT,107,,"3,659",,"3,766",,67,,"1,804",,"1,871",,"917,733",,,,
2112101 KY EBT KNOX,102,,"8,858",,"8,960",,48,,"4,046",,"4,094",,"2,155,472",,,,
2112301 KY EBT LARUE,6,,"1,676",,"1,682",,2,,754,,756,,"394,420",,,,
2112501 KY EBT LAUREL,113,,"10,679",,"10,792",,41,,"4,734",,"4,775",,"2,581,956",,,,
2112701 KY EBT LAWRENCE,25,,"3,286",,"3,311",,7,,"1,575",,"1,582",,"804,569",,,,
2112901 KY EBT LEE,43,,"1,742",,"1,785",,23,,876,,899,,"439,350",,,,
2113101 KY EBT LESLIE,25,,"2,568",,"2,593",,11,,"1,215",,"1,226",,"628,587",,,,
2113301 KY EBT LETCHER,124,,"4,906",,"5,030",,57,,"2,411",,"2,468",,"1,230,924",,,,
2113501 KY EBT LEWIS,9,,"2,596",,"2,605",,4,,"1,111",,"1,115",,"614,048",,,,
2113701 KY EBT LINCOLN,15,,"3,657",,"3,672",,5,,"1,667",,"1,672",,"880,929",,,,
2113901 KY EBT LIVINGSTON,0,,905,,905,,0,,391,,391,,"214,511",,,,
2114101 KY EBT LOGAN,40,,"3,229",,"3,269",,13,,"1,450",,"1,463",,"785,700",,,,
2114301 KY EBT LYON,1,,536,,537,,1,,271,,272,,"128,758",,,,
2114501 KY EBT MCCRACKEN,108,,"7,507",,"7,615",,40,,"3,522",,"3,562",,"1,842,442",,,,
2114701 KY EBT MCCREARY,27,,"4,289",,"4,316",,8,,"1,912",,"1,920",,"1,016,900",,,,
2114901 KY EBT MCLEAN,4,,920,,924,,2,,402,,404,,"227,958",,,,
2115101 KY EBT MADISON,82,,"8,952",,"9,034",,35,,"4,341",,"4,376",,"2,209,549",,,,
2115301 KY EBT MAGOFFIN,57,,"3,362",,"3,419",,15,,"1,623",,"1,638",,"825,068",,,,
2115501 KY EBT MARION,8,,"2,483",,"2,491",,3,,"1,161",,"1,164",,"600,192",,,,
2115701 KY EBT MARSHALL,15,,"2,713",,"2,728",,5,,"1,238",,"1,243",,"664,653",,,,
2115901 KY EBT MARTIN,37,,"2,629",,"2,666",,13,,"1,254",,"1,267",,"640,991",,,,
2116101 KY EBT MASON,34,,"2,630",,"2,664",,13,,"1,198",,"1,211",,"640,925",,,,
2116301 KY EBT MEADE,18,,"2,382",,"2,400",,8,,"1,019",,"1,027",,"569,555",,,,
2116501 KY EBT MENIFEE,4,,"1,291",,"1,295",,2,,599,,601,,"312,981",,,,
2116701 KY EBT MERCER,14,,"1,953",,"1,967",,4,,953,,957,,"480,591",,,,
2116901 KY EBT METCALFE,18,,"1,801",,"1,819",,5,,777,,782,,"426,692",,,,
2117101 KY EBT MONROE,26,,"1,689",,"1,715",,9,,760,,769,,"400,963",,,,
2117301 KY EBT MONTGOMERY,28,,"3,763",,"3,791",,10,,"1,841",,"1,851",,"928,448",,,,
2117501 KY EBT MORGAN,16,,"2,268",,"2,284",,5,,"1,012",,"1,017",,"534,610",,,,
2117701 KY EBT MUHLENBERG,39,,"4,221",,"4,260",,14,,"1,804",,"1,818",,"1,011,706",,,,
2117901 KY EBT NELSON,19,,"3,555",,"3,574",,8,,"1,727",,"1,735",,"875,208",,,,
2118101 KY EBT NICHOLAS,3,,"1,061",,"1,064",,1,,475,,476,,"251,348",,,,
2118301 KY EBT OHIO,8,,"3,125",,"3,133",,3,,"1,301",,"1,304",,"736,551",,,,
2118501 KY EBT OLDHAM,7,,"1,257",,"1,264",,4,,562,,566,,"305,303",,,,
2118701 KY EBT OWEN,9,,"1,239",,"1,248",,3,,534,,537,,"295,911",,,,
2118901 KY EBT OWSLEY,41,,"1,458",,"1,499",,19,,757,,776,,"371,764",,,,
2119101 KY EBT PENDLETON,13,,"1,462",,"1,475",,4,,631,,635,,"353,304",,,,
2119301 KY EBT PERRY,142,,"6,631",,"6,773",,72,,"3,235",,"3,307",,"1,669,470",,,,
2119501 KY EBT PIKE,110,,"11,218",,"11,328",,45,,"5,687",,"5,732",,"2,807,373",,,,
2119701 KY EBT POWELL,15,,"2,458",,"2,473",,4,,"1,143",,"1,147",,"600,654",,,,
2119901 KY EBT PULASKI,126,,"9,941",,"10,067",,48,,"4,521",,"4,569",,"2,410,724",,,,
2120101 KY EBT ROBERTSON,0,,299,,299,,0,,135,,135,,"71,672",,,,
2120301 KY EBT ROCKCASTLE,7,,"3,240",,"3,247",,3,,"1,560",,"1,563",,"773,186",,,,
2120501 KY EBT ROWAN,53,,"3,376",,"3,429",,18,,"1,661",,"1,679",,"838,658",,,,
2120701 KY EBT RUSSELL,38,,"3,140",,"3,178",,15,,"1,476",,"1,491",,"755,160",,,,
2120901 KY EBT SCOTT,11,,"3,954",,"3,965",,5,,"1,628",,"1,633",,"940,563",,,,
2121101 KY EBT SHELBY,12,,"2,631",,"2,643",,5,,"1,175",,"1,180",,"634,124",,,,
2121301 KY EBT SIMPSON,6,,"1,921",,"1,927",,2,,841,,843,,"459,679",,,,
2121501 KY EBT SPENCER,8,,889,,897,,2,,408,,410,,"219,198",,,,
2121701 KY EBT TAYLOR,49,,"3,835",,"3,884",,18,,"1,810",,"1,828",,"940,653",,,,
2121901 KY EBT TODD,19,,"1,313",,"1,332",,5,,581,,586,,"318,133",,,,
2122101 KY EBT TRIGG,10,,"1,281",,"1,291",,4,,579,,583,,"309,626",,,,
2122301 KY EBT TRIMBLE,4,,594,,598,,2,,274,,276,,"148,001",,,,
2122501 KY EBT UNION,14,,"1,424",,"1,438",,5,,639,,644,,"343,375",,,,
2122701 KY EBT WARREN,182,,"15,032",,"15,214",,62,,"6,186",,"6,248",,"3,630,900",,,,
2122901 KY EBT WASHINGTON,8,,"1,829",,"1,837",,3,,"1,121",,"1,124",,"487,434",,,,
2123101 KY EBT WAYNE,38,,"4,380",,"4,418",,12,,"2,051",,"2,063",,"1,044,472",,,,
2123301 KY EBT WEBSTER,14,,"1,419",,"1,433",,5,,639,,644,,"340,480",,,,
2123501 KY EBT WHITLEY,70,,"7,999",,"8,069",,25,,"3,621",,"3,646",,"1,947,816",,,,
2123701 KY EBT WOLFE,42,,"1,868",,"1,910",,26,,913,,939,,"465,177",,,,
2123901 KY EBT WOODFORD,0,,"1,609",,"1,609",,0,,755,,755,,"390,384",,,,
2200101 LA EBT ACADIA PARISH,"1,337",,"12,522",,"13,859",,"1,235",,"5,462",,"6,697",,"3,391,097",,,,
2200301 LA EBT ALLEN PARISH,387,,"3,920",,"4,307",,360,,"1,642",,"2,002",,"1,045,371",,,,
2200501 LA EBT ASCENSION PARISH,868,,"12,642",,"13,510",,826,,"5,296",,"6,122",,"3,402,513",,,,
2200701 LA EBT ASSUMPTION PARISH,444,,"3,592",,"4,036",,419,,"1,609",,"2,028",,"994,654",,,,
2200901 LA EBT AVOYELLES PARISH,"1,195",,"9,099",,"10,294",,"1,119",,"3,943",,"5,062",,"2,519,490",,,,
2201101 LA EBT BEAUREGARD PARISH,466,,"4,718",,"5,184",,421,,"1,934",,"2,355",,"1,269,548",,,,
2201301 LA EBT BIENVILLE PARISH,369,,"2,783",,"3,152",,343,,"1,212",,"1,555",,"771,211",,,,
2201501 LA EBT BOSSIER PARISH,"1,476",,"15,514",,"16,990",,"1,356",,"6,590",,"7,946",,"4,174,941",,,,
2201701 LA EBT CADDO PARISH,"5,884",,"47,784",,"53,668",,"5,497",,"20,988",,"26,485",,"13,332,929",,,,
2201901 LA EBT CALCASIEU PARISH,"2,228",,"26,887",,"29,115",,"2,101",,"11,359",,"13,460",,"7,172,984",,,,
2202101 LA EBT CALDWELL PARISH,238,,"1,967",,"2,205",,220,,839,,"1,059",,"542,447",,,,
2202301 LA EBT CAMERON PARISH,27,,560,,587,,23,,218,,241,,"141,693",,,,
2202501 LA EBT CATAHOULA PARISH,255,,"2,113",,"2,368",,242,,947,,"1,189",,"586,581",,,,
2202701 LA EBT CLAIBORNE PARISH,379,,"2,984",,"3,363",,366,,"1,341",,"1,707",,"824,999",,,,
2202901 LA EBT CONCORDIA PARISH,606,,"4,719",,"5,325",,559,,"2,073",,"2,632",,"1,304,255",,,,
2203101 LA EBT DE SOTO PARISH,576,,"4,701",,"5,277",,544,,"2,085",,"2,629",,"1,302,599",,,,
2203301 LA EBT EAST BATON ROUGE PARISH,"6,876",,"72,691",,"79,567",,"6,405",,"32,422",,"38,827",,"19,846,995",,,,
2203501 LA EBT EAST CARROLL PARISH,259,,"1,856",,"2,115",,252,,815,,"1,067",,"517,129",,,,
2203701 LA EBT EAST FELICIANA PARISH,343,,"2,505",,"2,848",,332,,"1,134",,"1,466",,"706,027",,,,
2203901 LA EBT EVANGELINE PARISH,"1,142",,"7,481",,"8,623",,"1,064",,"3,179",,"4,243",,"2,099,194",,,,
2204101 LA EBT FRANKLIN PARISH,547,,"5,029",,"5,576",,513,,"2,183",,"2,696",,"1,356,757",,,,
2204301 LA EBT GRANT PARISH,358,,"3,397",,"3,755",,343,,"1,442",,"1,785",,"920,498",,,,
2204501 LA EBT IBERIA PARISH,"1,528",,"16,114",,"17,642",,"1,399",,"6,828",,"8,227",,"4,306,904",,,,
2204701 LA EBT IBERVILLE PARISH,574,,"6,424",,"6,998",,554,,"2,878",,"3,432",,"1,733,403",,,,
2204901 LA EBT JACKSON PARISH,301,,"2,541",,"2,842",,285,,"1,116",,"1,401",,"703,063",,,,
2205101 LA EBT JEFFERSON PARISH,"5,788",,"61,317",,"67,105",,"5,463",,"28,152",,"33,615",,"16,841,387",,,,
2205301 LA EBT JEFFERSON DAVIS PARISH,509,,"5,445",,"5,954",,467,,"2,237",,"2,704",,"1,446,799",,,,
2205501 LA EBT LAFAYETTE PARISH,"3,146",,"35,524",,"38,670",,"2,917",,"15,536",,"18,453",,"9,545,203",,,,
2205701 LA EBT LAFOURCHE PARISH,"1,441",,"13,599",,"15,040",,"1,326",,"5,955",,"7,281",,"3,701,448",,,,
2205901 LA EBT LA SALLE PARISH,213,,"2,098",,"2,311",,190,,856,,"1,046",,"558,786",,,,
2206101 LA EBT LINCOLN PARISH,755,,"6,764",,"7,519",,722,,"3,206",,"3,928",,"1,892,583",,,,
2206301 LA EBT LIVINGSTON PARISH,"1,274",,"17,721",,"18,995",,"1,184",,"7,586",,"8,770",,"4,694,426",,,,
2206501 LA EBT MADISON PARISH,313,,"3,109",,"3,422",,295,,"1,341",,"1,636",,"843,891",,,,
2206701 LA EBT MOREHOUSE PARISH,933,,"6,351",,"7,284",,852,,"2,929",,"3,781",,"1,815,434",,,,
2206901 LA EBT NATCHITOCHES PARISH,"1,044",,"7,301",,"8,345",,936,,"3,304",,"4,240",,"2,064,659",,,,
2207101 LA EBT ORLEANS PARISH,"10,016",,"72,025",,"82,041",,"9,441",,"35,485",,"44,926",,"20,867,255",,,,
2207301 LA EBT OUACHITA PARISH,"3,400",,"31,504",,"34,904",,"3,143",,"13,897",,"17,040",,"8,661,038",,,,
2207501 LA EBT PLAQUEMINES PARISH,252,,"2,689",,"2,941",,237,,"1,097",,"1,334",,"726,058",,,,
2207701 LA EBT POINTE COUPEE PARISH,465,,"3,637",,"4,102",,438,,"1,591",,"2,029",,"1,008,954",,,,
2207901 LA EBT RAPIDES PARISH,"2,838",,"23,439",,"26,277",,"2,663",,"10,270",,"12,933",,"6,465,035",,,,
2208101 LA EBT RED RIVER PARISH,202,,"2,080",,"2,282",,185,,825,,"1,010",,"543,730",,,,
2208301 LA EBT RICHLAND PARISH,444,,"4,479",,"4,923",,415,,"1,946",,"2,361",,"1,211,137",,,,
2208501 LA EBT SABINE PARISH,441,,"4,382",,"4,823",,412,,"1,785",,"2,197",,"1,230,218",,,,
2208701 LA EBT SAINT BERNARD PARISH,776,,"9,141",,"9,917",,717,,"3,924",,"4,641",,"2,443,797",,,,
2208901 LA EBT SAINT CHARLES PARISH,396,,"5,796",,"6,192",,378,,"2,479",,"2,857",,"1,519,186",,,,
2209101 LA EBT SAINT HELENA PARISH,338,,"2,877",,"3,215",,319,,"1,270",,"1,589",,"790,552",,,,
2209301 LA EBT SAINT JAMES PARISH,313,,"3,308",,"3,621",,295,,"1,480",,"1,775",,"920,976",,,,
2209501 LA EBT SAINT JOHN THE BAPTIST PARISH,747,,"8,497",,"9,244",,708,,"3,680",,"4,388",,"3,438,080",,,,
2209706 LA EBT SAINT LANDRY PARISH,"2,733",,"20,436",,"23,169",,"2,513",,"8,758",,"11,271",,"5,667,349",,,,
2209901 LA EBT SAINT MARTIN PARISH,884,,"10,331",,"11,215",,834,,"4,423",,"5,257",,"2,735,738",,,,
2210101 LA EBT SAINT MARY PARISH,"1,149",,"10,641",,"11,790",,"1,066",,"4,604",,"5,670",,"2,924,536",,,,
2210303 LA EBT SAINT TAMMANY PARISH,"2,153",,"23,712",,"25,865",,"1,982",,"10,189",,"12,171",,"6,369,208",,,,
2210504 LA EBT TANGIPAHOA PARISH,"2,535",,"25,403",,"27,938",,"2,362",,"10,743",,"13,105",,"6,860,809",,,,
2210701 LA EBT TENSAS PARISH,182,,"1,050",,"1,232",,173,,505,,678,,"308,362",,,,
2210901 LA EBT TERREBONNE PARISH,"1,987",,"19,354",,"21,341",,"1,836",,"8,238",,"10,074",,"5,223,252",,,,
2211101 LA EBT UNION PARISH,403,,"3,624",,"4,027",,382,,"1,637",,"2,019",,"993,735",,,,
2211301 LA EBT VERMILION PARISH,972,,"10,741",,"11,713",,918,,"4,407",,"5,325",,"2,840,406",,,,
2211501 LA EBT VERNON PARISH,544,,"5,986",,"6,530",,517,,"2,410",,"2,927",,"1,597,402",,,,
2211703 LA EBT WASHINGTON PARISH,"1,488",,"10,171",,"11,659",,"1,382",,"4,532",,"5,914",,"2,869,883",,,,
2211901 LA EBT WEBSTER PARISH,899,,"7,079",,"7,978",,852,,"3,167",,"4,019",,"1,970,550",,,,
2212101 LA EBT WEST BATON ROUGE PARISH,351,,"3,906",,"4,257",,326,,"1,690",,"2,016",,"1,052,762",,,,
2212301 LA EBT WEST CARROLL PARISH,254,,"2,019",,"2,273",,234,,930,,"1,164",,"567,248",,,,
2212501 LA EBT WEST FELICIANA PARISH,127,,"1,222",,"1,349",,123,,516,,639,,"325,435",,,,
2212701 LA EBT WINN PARISH,275,,"2,448",,"2,723",,261,,"1,125",,"1,386",,"675,053",,,,
2300001 ME EBT ME DEPT HUMAN SERVICES,"35,241",,"123,327",,"158,568",,"27,070",,"64,179",,"91,249",,"24,471,100",,,,
2400101 MD EBT ALLEGANY CO SOC SVCS,486,,"15,786",,"16,272",,282,,"8,746",,"9,028",,"2,196,565",,,,
2400301 MD EBT ANNE ARUNDEL CO SOC SV,"2,256",,"60,862",,"63,118",,"1,194",,"34,435",,"35,629",,"9,486,041",,,,
2400501 MD EBT BALTIMORE CO SOC SVCS,"3,384",,"125,834",,"129,218",,"1,770",,"70,099",,"71,869",,"18,717,259",,,,
2400901 MD EBT CALVERT CO SOC SVCS,98,,"8,367",,"8,465",,75,,"4,654",,"4,729",,"1,195,766",,,,
2401101 MD EBT CAROLINE CO SOC SVCS,76,,"6,708",,"6,784",,53,,"3,481",,"3,534",,"921,057",,,,
2401301 MD EBT CARROLL COUNTY SOC SVC,174,,"10,503",,"10,677",,128,,"5,803",,"5,931",,"1,472,224",,,,
2401501 MD EBT CECIL CO SOC SVCS,304,,"15,828",,"16,132",,174,,"8,285",,"8,459",,"2,286,981",,,,
2401701 MD EBT CHARLES CO SOC SVCS,387,,"21,321",,"21,708",,199,,"11,545",,"11,744",,"3,148,924",,,,
2401901 MD EBT DORCHESTER CO SOC SVCS,168,,"9,020",,"9,188",,115,,"5,117",,"5,232",,"1,228,389",,,,
2402101 MD EBT FREDERICK CO SOC SVCS,525,,"20,418",,"20,943",,355,,"10,540",,"10,895",,"3,007,115",,,,
2402301 MD EBT GARRETT CO SOC SVCS,72,,"4,404",,"4,476",,38,,"2,327",,"2,365",,"509,301",,,,
2402501 MD EBT HARFORD CO DSS,446,,"25,431",,"25,877",,275,,"13,788",,"14,063",,"3,595,818",,,,
2402701 MD EBT HOWARD CO SOC SVCS,522,,"23,654",,"24,176",,318,,"12,369",,"12,687",,"3,561,544",,,,
2402901 MD EBT KENT CO SOC SVCS,61,,"3,360",,"3,421",,40,,"1,925",,"1,965",,"454,865",,,,
2403101 MD EBT MONTGOMERY CO SOC SVCS,"1,417",,"76,912",,"78,329",,790,,"41,360",,"42,150",,"11,310,971",,,,
2403306 MD EBT PRINCE GEORGES CO SOC,"3,808",,"146,091",,"149,899",,"1,858",,"83,605",,"85,463",,"23,259,126",,,,
2403501 MD EBT QUEEN ANNES CO SOC SVC,47,,"3,612",,"3,659",,38,,"2,026",,"2,064",,"494,839",,,,
2403701 MD EBT ST MARYS CO SOC SVCS,448,,"12,888",,"13,336",,216,,"6,985",,"7,201",,"1,881,070",,,,
2403901 MD EBT SOMERSET CO SOC SVCS,197,,"6,093",,"6,290",,92,,"3,307",,"3,399",,"865,482",,,,
2404101 MD EBT TALBOT CO SOC SVCS,75,,"4,876",,"4,951",,54,,"2,816",,"2,870",,"669,999",,,,
2404301 MD EBT WASH CO SOC SVCS,806,,"26,868",,"27,674",,446,,"14,389",,"14,835",,"3,912,560",,,,
2404501 MD EBT WICOMICO CO SOC SVCS,482,,"22,781",,"23,263",,266,,"12,082",,"12,348",,"3,169,182",,,,
2404701 MD EBT WORCESTER CO DSS,189,,"7,549",,"7,738",,81,,"4,378",,"4,459",,"1,037,190",,,,
